,US Gasoline Prices,US GDP,oil_production_bbl,oil_total_liquids_consumption,oil_consumption_bbl,oil_consumption_light_distillates,oil_consumption_middle_distillates,oil_consumption_fuel_oil,oil_consumption_others,oil_crude_oil_prices,natural_gas_production_ej,natural_gas_consumption_ej,primary_energy_consumption,primary_energy_consumption_per_capital,carbon_dioxide_emissions_from_energy,coal_production_ej,coal_consumption_ej,nuclear_energy_generation_twh,nuclear_energy_consumption_ej,hydroelectricity_generation_twh,hydroelectricity_consumption_ej,renewables_consumption_ej,renewables_generation_ej
unit,USD,Billions of USD,thousand_barrels_daily,thousand_barrels_daily,thousand_barrels_daily,thousand_barrels_daily,thousand_barrels_daily,thousand_barrels_daily,thousand_barrels_daily,US_dollars_per_barrel,exajoules,exajoules,exajoules,gigajoule_per_capita,million_tonnes_of_carbon_dioxide,exajoules,exajoules,terawatt_hours,exajoules,terawatt_hours,exajoules,exajoules,exajoules
1988,0.9,5236.438,9764.689,17283.31301,17283.31301,7516.877049,4937.81847,1381.579235,3447.038251,14.9238417,16.71075249,17.51767651,79.25359528,320.3819051,4969.138238,20.78539903,18.88971619,554.7084705,5.666376849,228.3846495,2.43119143,0.4734527752,0.4734527752
1989,0.9,5641.58,9159.077,17325.15233,17325.15233,7586.347945,4985.845479,1365.561644,3387.39726,18.22611328,16.94688475,18.61279283,81.17327583,325.049606,5058.078032,21.40937177,19.11368081,557.2154916,5.691986204,274.7241778,2.924483183,0.5672200262,0.5672200262
1990,1,5963.144,8914.307,16988.49713,16939.72552,7420.253044,4938.867,1223.69589,3356.909589,23.72582031,17.40160538,18.61419247,81.38380436,322.7974957,4970.491814,22.53933817,19.21679073,607.2228189,6.202813742,292.2809141,3.111377473,0.7337437369,0.6735058743
1991,1.14,6158.129,9075.545,16713.83825,16657.32512,7296.152614,4826.397164,1147.238356,3387.536986,20.0009144,17.30910114,19.02230062,81.27471622,319.3011592,4922.618223,21.68625398,19.03540896,644.8053547,6.586721366,287.3260141,3.058631763,0.7810178421,0.7112184163
1992,1.13,6520.327,8868.125,17032.8603,16968.7812,7461.456413,4855.177246,1079.368852,3572.778689,19.32083658,17.44808112,19.6686348,82.47364038,320.9208345,5004.921294,21.74409489,19.1665112,651.3434347,6.653508204,251.4256778,2.676466892,0.8379255674,0.7585645749
1993,1.11,6858.559,8582.665,17236.73352,17161.65133,7605.164384,4955.771877,1061.50411,3539.210959,16.97163424,17.6464773,20.15790957,84.2040856,324.4457077,5117.553324,20.38248819,19.88082954,642.4118042,6.562271118,279.2509455,2.972671355,0.8766423176,0.7839082267
1994,1.11,7287.236,8388.579,17718.15937,17634.07992,7749.249315,5131.121014,1003.090411,3750.619178,15.81762646,18.37191092,20.63189183,85.75339598,327.0019916,5195.388787,22.25321584,19.95531569,674.1471916,6.886449806,259.3413212,2.760730194,0.8879195759,0.7840729597
1995,1.15,7639.749,8321.639,17724.58912,17634.40008,7917.515068,5149.085014,835.0876712,3732.712329,17.01667969,18.11955084,21.5273861,87.62729475,330.4648457,5227.893829,22.18052062,20.13499254,708.84434,7.240883043,311.2198152,3.312985129,0.8599501166,0.7485575408
1996,1.23,8073.122,8294.527,18308.91028,18244.39662,8099.592896,5345.172579,831.0054645,3968.625683,20.66848837,18.36835485,21.92003273,90.58103618,337.5669722,5407.639017,22.8426456,21.05028267,710.2405747,7.255145656,347.5494798,3.699720269,0.8461535581,0.7662543662
1997,1.23,8577.554457,8268.592,18620.30434,18538.38927,8241.405479,5502.956397,777.4684932,4016.558904,19.09258755,18.4154364,22.05113619,91.26091511,335.8716814,5483.026086,23.36330211,21.49480107,661.7307063,6.759614742,355.9731212,3.78939129,0.8788062382,0.7776328544
1998,1.06,9062.818202,8010.833,18917.14496,18826.62989,8489.213699,5544.399753,869.2246575,3923.791781,12.71566148,18.62380951,21.6784472,91.84499597,333.76903,5524.139127,24.10057208,21.70561848,709.1601095,7.244108645,322.0892737,3.428692269,0.884125061,0.7723298085
1999,1.17,9631.174489,7731.458,19519.33925,19425.22966,8623.531507,5697.484452,814.0438356,4290.169863,17.97007782,18.3649697,21.75346262,93.4743814,335.577106,5574.140178,23.34872485,21.67234202,766.5832884,7.830689505,316.6051818,3.370313226,0.9140396209,0.7978047724
2000,1.51,10250.948,7732.658645,19701.07908,19593.51897,8705.625683,5851.603672,893.2540984,4143.035519,28.49544922,18.66961012,22.62206373,95.56353541,338.8126658,5740.684612,22.78784851,22.63153001,793.5715158,8.106375699,272.7613505,2.90358857,0.9450968872,0.8118853215
2001,1.46,10581.92977,7669.609219,19648.70511,19534.48736,8776.482192,5882.520236,793.830137,4081.654795,24.44389105,19.14821954,21.62368854,93.28600902,327.4673221,5650.668381,23.6013144,21.96473787,809.2908505,8.213268058,210.24,2.223505991,0.9681542301,0.8266316019
2002,1.36,10929.11296,7624.338274,19761.30928,19625.00918,9039.109589,5726.806436,686.4191781,4172.673973,25.02325581,18.40423551,22.3240037,94.67225364,329.2457806,5672.347141,22.78458979,21.9544352,821.1200916,8.279556386,258.1675788,2.712774413,1.088796576,0.9197317184
2003,1.59,11456.44204,7368.447945,20033.50797,19848.28151,9091.00274,5884.971918,763.2356164,4109.071233,28.83070313,18.64280906,21.67884222,94.96840401,327.4036458,5737.63158,22.14454383,22.37233444,803.9291526,8.054252987,269.9709677,2.818617485,1.151100039,0.9217317309
2004,1.88,12217.1932,7250.243956,20731.15252,20498.32449,9287.153005,6114.190607,858.7021858,4238.278689,38.265,18.11196299,21.7665987,96.83117681,330.7846186,5838.882108,22.90473143,22.51793599,830.0298811,8.262779482,262.5546444,2.723727963,1.247813691,0.958277726
2005,2.3,13039.19919,6900.783644,20802.15712,20531.48159,9282.964384,6191.807622,913.9287671,4142.780822,54.52108949,17.619869,21.42694742,96.87648133,327.9129866,5873.173026,23.23858385,22.84904481,823.1435421,8.142365173,266.4277444,2.746414213,1.341028075,1.0027167
2006,2.59,13815.58695,6824.858521,20687.41833,20312.84974,9241.778082,6209.37303,683.3178082,4178.380822,65.1440625,18.06206602,21.11679961,96.11322655,322.2164183,5795.22348,23.84430566,22.49885716,828.6511958,8.145293251,285.5440141,2.924957856,1.572046164,1.097925781
